group,item
297,4194
297,16700
297,22110
297,5060
297,20215
297,15050
297,21383
297,21459
297,14152
297,11108
297,21458
298,9161
299,6887
300,17844
300,6428
300,6350
301,2977
301,145
301,18722
301,22762
301,210
301,12562
301,6085
301,16384
301,20717
301,9262
301,23537
301,24546
301,18558
301,6857
301,11167
301,16152
301,7116
301,10989
302,12065
303,3581
304,14613
305,19889
306,14072
306,6428
306,1253
306,21591
306,23181
306,4999
306,2481
306,13759
306,18351
306,2729
306,20836
306,19335
306,23132
306,15294
306,16902
306,15728
306,11103
306,10056
306,10545
306,2479
306,1575
306,7820
306,15425
306,6715
306,18049
306,18340
306,9100
306,6759
306,21574
306,18035
306,15337
306,3248
306,13863
306,1328
306,18319
306,17433
306,22824
306,24294
306,15649
306,17689
306,12525
306,18634
306,16318
306,10192
306,8522
306,14542
306,13130
306,24505
306,22871
306,13646
306,20601
306,18942
306,4637
306,16660
306,23081
306,24202
306,5158
306,10217
306,7394
306,7533
306,9797
306,8299
306,18186
306,2688
306,13845
306,6322
306,24723
306,9987
306,20793
306,9916
306,13415
306,23611
306,2155
306,5442
306,15556
306,5965
306,22844
306,1831
306,5686
306,13035
306,11895
306,104
306,1442
306,19693
306,3519
306,6233
306,3608
306,7060
306,23793
306,23308
306,4876
306,17478
306,5818
306,7948
306,11822
306,5855
306,1347
306,23116
306,13167
306,7872
306,15711
306,2486
306,3288
306,5117
306,5561
306,10829
306,15540
306,21184
306,13605
306,7068
306,9671
306,5534
306,23381
306,20540
306,10669
306,7311
306,9228
306,11163
306,20861
306,9670
306,699
306,11787
306,17163
306,18873
306,5956
306,24957
306,1146
306,11721
306,21572
306,15078
306,22881
306,3790
306,15377
306,13880
306,140
306,5357
306,21039
306,767
306,109
306,4332
306,4530
306,15322
306,24772
306,10692
306,16187
306,3525
306,23275
306,76
306,1258
306,18583
306,9728
306,12800
306,14795
306,3278
306,11042
306,852
306,7650
306,6876
306,18867
306,6167
306,17897
306,4106
306,25
306,4703
306,13147
306,12278
306,9599
306,3906
306,21795
306,9166
306,8393
306,12509
306,10436
306,16183
306,19281
306,9316
306,13132
306,22067
306,8446
306,5061
306,20570
306,10132
306,7937
306,6420
306,9583
306,16840
306,16641
306,18734
306,7316
306,1199
306,13396
306,2454
306,2389
306,909
306,21796
306,18501
306,11340
306,19549
306,21103
306,6661
306,25002
306,22608
306,313
306,22330
306,10125
306,20817
306,7491
306,2084
306,2068
306,713
306,23657
306,3762
306,15797
306,6018
306,15892
306,1149
306,9593
306,3077
306,23883
306,12734
306,1152
306,491
306,23503
306,17156
306,921
306,22982
306,618
306,5222
306,11158
306,7077
306,16516
307,19491
308,3902
308,6426
308,24660
308,1029
308,24792
308,21199
308,13068
308,24927
308,13861
308,24315
309,5799
309,19525
309,23686
309,9914
309,397
309,12027
309,12358
309,8789
309,16496
309,5467
309,24713
309,5060
309,19658
310,8789
311,20723
311,19947
311,23379
312,15374
313,21038
314,4050
314,10492
314,2977
315,4956
315,22614
316,1675
317,6647
318,10615
318,9302
318,21831
318,5040
318,18031
318,23846
319,14608
319,18649
320,20824
320,21273
320,1946
320,3894
320,15570
320,4924
320,17570
320,11237
320,7275
320,9681
320,6049
320,6018
320,23068
320,13528
320,14479
320,6367
320,5841
320,11255
320,1214
320,15360
320,19404
320,18891
320,2606
320,24987
320,22060
320,7848
320,10386
320,13697
320,3901
320,606
320,3165
320,1845
320,4108
320,13659
320,7850
320,4027
321,22587
322,17938
323,18634
323,2002
323,18340
323,10509
323,11858
324,22428
325,23247
326,19314
326,11709
326,2807
326,21205
326,4724
326,24392
326,5258
326,10840
326,19384
326,7030
326,9699
326,3311
326,23208
326,8610
326,21509
326,10967
326,23583
326,21957
326,13142
326,24682
326,2933
326,22901
326,20324
326,20576
326,12694
326,20697
326,19210
326,10946
326,14237
326,12847
326,6319
326,24023
326,24503
326,18494
326,23705
326,24922
326,19262
326,14668
326,16800
326,13989
326,17607
326,3382
326,1931
326,23317
326,4187
326,7750
326,2282
326,24246
326,7838
326,20431
326,16013
326,24201
326,12505
326,22784
326,8663
326,24531
326,24567
326,24356
326,16222
326,17716
326,8411
326,23049
326,10811
326,12851
326,13230
326,11681
326,9705
326,8500
326,23192
326,16873
326,11871
326,1371
326,23590
326,11502
326,15647
326,5634
326,3020
326,8594
326,19267
326,9128
326,9519
326,8862
327,18830
328,8955
329,20216
330,23275
331,1383
331,22821
331,17082
331,6485
332,24503
333,9327
333,24749
333,8100
333,22824
334,14153
335,6928
336,21390
336,13812
336,9389
336,15236
336,22796
336,10087
336,668
336,2604
337,19207
337,4675
337,11126
337,22529
337,8840
337,4218
337,16544
337,18124
338,5466
339,8404
339,19246
339,2680
339,4223
339,24765
339,4016
339,9327
339,13158
339,13982
339,4218
339,8324
339,8468
339,15266
340,12526
341,15885
342,20561
343,19852
344,20182
345,6428
345,21379
345,18078
346,8500
347,8610
347,12435
348,13080
349,16301
350,23966
350,21299
351,22406
352,6041
353,2439
354,15172
354,23936
355,1253
355,9327
356,1253
357,17576
358,2820
359,9327
360,11001
360,7028
360,11806
361,7651
361,22518
361,21336
361,1710
361,17066
361,2643
361,20978
361,5369
361,1193
361,6930
361,12935
361,15447
361,13844
361,25045
361,1674
361,14170
361,17573
361,3200
361,3028
361,8563
361,5025
362,22484
363,7066
364,14833
364,11488
364,2454
364,12878
364,6322
364,24872
364,3279
364,16508
364,23852
364,23038
364,2391
364,19473
364,1937
364,6876
364,15932
364,20417
364,3530
364,9183
365,6050
366,18689
367,24087
367,9331
367,23027
367,16663
367,19465
367,10398
367,8121
367,24598
367,6511
367,9019
367,7389
367,22753
367,15544
367,16493
367,4103
367,4464
368,5533
368,3401
369,7811
369,5337
369,2428
369,23459
369,16591
369,3192
369,4071
369,14784
369,18488
369,19986
369,17122
369,11566
369,5485
369,3317
369,24097
369,6599
369,20922
369,4082
369,18075
369,9065
369,15191
369,25019
369,5487
369,2616
369,3204
369,21643
369,7774
369,19038
369,22310
369,22955
369,7580
369,16631
369,12560
369,12301
369,24026
369,12428
369,19913
369,22375
369,7939
369,6318
369,23940
369,3953
369,6358
369,3996
369,14781
369,20124
369,19295
369,4052
369,6852
369,4081
369,9274
369,21616
369,20923
369,8035
369,7486
369,9340
369,23333
369,6528
369,6317
369,8440
369,4688
369,4756
369,24502
369,14453
369,12259
369,5223
369,24289
369,17425
369,23138
370,7224
371,19455
372,22027
372,2029
372,12455
372,20853
372,18336
372,1450
372,7813
372,8551
372,11644
372,13845
372,15337
373,9108
374,14417
375,2683
375,16825
375,14107
376,6498
377,17094
377,10707
378,19794
379,5000
380,17173
381,4305
382,20050
383,8320
384,3082
384,17101
384,18
384,12536
385,8908
386,6041
387,10420
388,20561
389,8250
390,6101
391,19210
391,17111
391,209
391,16801
392,20561
393,7207
393,19326
394,8940
395,11920
396,16565
396,9350
396,14221
396,4218
396,19050
396,5983
396,397
397,19014
398,18643
399,1253
400,20404
401,9624
402,2068
402,12297
402,11721
402,16171
402,6601
403,7040
403,21827
403,5395
403,21109
403,24173
403,18362
403,11566
403,13807
403,10989
403,19881
403,8665
403,10672
404,20042
405,12455
405,3504
405,16220
405,8674
406,1919
407,17040
408,9109
409,18251
409,12631
410,23575
411,18689
412,19050
413,23028
413,977
413,2810
413,4804
414,23761
415,21369
416,4535
416,22438
416,23793
416,11721
416,6851
416,7733
416,10838
416,9407
416,25054
416,838
416,19050
416,908
416,1598
417,19050
418,22081
419,10769
420,18758
421,17607
421,21509
421,22784
421,23575
422,22204
423,10545
424,104
424,22824
424,21337
425,23315
425,21852
425,4874
425,21687
426,5981
427,7349
428,18351
429,11499
429,9743
430,22698
431,19369
431,15471
432,12367
433,14896
433,4520
433,11786
434,21420
434,397
435,5376
436,2825
436,4218
436,21548
436,18758
437,14612
438,9006
439,20966
439,2222
439,12280
440,3520
440,24498
441,20617
442,17950
442,9594
443,12275
444,4390
445,610
445,7340
446,24776
447,4305
448,23024
448,22529
449,23678
450,17440
450,5495
450,13728
450,616
450,17003
450,17157
450,24917
450,6602
451,4235
452,20515
452,18502
452,4149
453,12998
454,4286
455,2252
456,19389
456,20927
456,20150
457,12885
458,20216
459,2112
460,19269
460,22305
461,11961
461,2936
461,200
462,1253
463,4539
463,12186
463,11430
464,1575
464,12455
465,16461
466,14091
467,4672
467,13123
467,15396
467,22507
467,15584
467,14982
467,1430
467,269
467,13470
467,613
468,16735
469,22529
470,22430
471,18875
472,18689
473,137
473,7415
473,8776
473,19903
473,10604
473,1718
474,20313
474,19929
475,19210
476,7395
477,20661
478,19050
479,16876
479,12579
479,10530
480,17913
481,24276
482,202
483,21458
484,13685
484,22337
485,18689
486,2350
487,19857
487,17704
487,6904
487,21864
487,20722
488,8363
489,19447
490,18030
490,13011
490,10685
491,22226
491,22761
491,20429
491,14350
492,16610
492,1046
493,9356
494,4218
495,9854
496,8266
496,9679
496,12632
496,6185
496,7809
496,380
496,4795
496,8687
497,4409
498,1593
498,20007
498,11970
498,24797
499,1558
499,6668
500,22850
500,22550
500,5077
501,23335
502,7940
503,6948
504,6505
504,25006
505,11280
506,411
506,19889
506,12240
507,18475
507,21394
507,23675
507,3543
507,17881
507,23720
507,1644
508,3328
509,20216
510,15565
510,12087
510,16210
510,2773
510,15125
510,1296
510,20992
510,2903
510,6699
510,7504
510,13532
511,4218
512,7121
513,15173
514,14674
515,19014
516,13308
517,8732
517,9529
517,2018
518,19338
519,22421
519,9521
520,20561
521,11304
521,18756
522,22537
523,6602
524,4218
524,4860
525,8004
526,5759
527,6079
527,8107
527,8026
527,8473
527,11475
527,4834
528,21087
529,5237
530,18689
531,10545
531,20605
532,9075
533,9159
534,11272
535,20900
536,4675
536,12502
537,14500
537,336
537,4095
537,452
537,461
537,14898
537,1039
538,4223
539,17837
540,15337
540,22337
541,4721
541,20838
542,19210
543,3158
544,8734
544,3624
544,23759
544,1065
544,12052
545,6319
546,7323
547,9356
548,21416
548,14296
548,23794
549,21466
550,18961
550,858
550,11077
551,4034
552,5194
552,24166
553,14713
554,21831
555,6147
555,18351
556,6041
557,15337
558,21901
559,7207
560,20834
561,923
562,20216
563,14346
564,18689
565,5370
566,18766
567,17905
568,4860
569,20286
570,22098
571,24429
572,12564
572,21839
572,4090
573,4959
574,9467
575,964
575,11808
576,17362
577,1364
578,5905
579,7787
580,13710
581,3441
582,14204
583,20216
584,1253
585,17533
585,15453
586,17902
587,6920
588,18898
589,21064
590,24631
591,9327
592,19326
593,14125
594,12329
594,5025
594,24556
594,12488
594,21302
594,669
594,21710
594,15883
594,3053
594,7370
594,6591
595,20042
596,22641
597,7324
598,19999
598,19998
598,20002
598,12159
598,20368
598,20042
598,24366
598,7371
599,21087
600,12015
601,5786
602,18890
603,9327
604,1480
605,20529
605,11653
606,23906
606,18305
607,21831
607,9327
608,22828
608,12853
609,23851
610,24096
611,17793
611,20825
611,19474
611,20569
611,13586
612,22529
613,21464
614,18689
615,19326
616,2960
617,6766
618,13685
618,2692
618,5020
618,8446
618,18351
618,14051
619,23024
620,2178
621,9159
622,17380
623,13990
623,12052
623,10814
623,1560
623,9450
623,21087
623,22058
624,22134
625,20431
625,22529
626,20007
626,20026
626,11785
626,9348
626,11880
627,14557
628,18689
629,19912
629,19687
629,4839
629,3586
629,9862
629,11317
629,18646
629,17948
629,1132
629,23417
629,9861
629,11821
629,17525
629,13895
629,7108
629,11326
629,11450
629,11798
629,11784
629,5854
629,15490
629,5432
629,3555
629,12907
629,18752
629,4836
629,3076
629,19974
630,18014
631,829
632,22201
632,9202
632,8724
632,857
632,21360
633,14991
634,19348
634,3687
634,2910
634,19984
634,24297
635,20397
635,7649
635,18624
635,18299
635,24447
635,15372
635,21479
635,24431
635,6421
635,11655
635,5369
635,17180
635,10082
635,6633
635,4880
636,18670
637,5025
638,18351
639,10112
639,22930
640,13845
641,24948
642,23521
643,16869
644,9327
645,19009
646,6993
647,23771
647,17656
647,1935
647,3758
647,8838
648,10814
649,21356
650,14624
651,22098
652,18305
653,1211
653,6428
653,24473
653,17837
654,18758
655,12545
656,3158
657,23024
658,3344
659,24166
660,9159
661,13283
661,10761
661,18878
661,907
661,6296
661,3281
661,12185
662,24044
663,2631
664,9327
665,16025
665,3366
665,23896
665,17557
665,21122
666,14282
666,19586
666,12249
666,13029
666,16099
666,19503
666,18362
666,7040
666,6219
666,23838
667,6041
668,13247
669,10454
669,21901
669,6877
669,22344
669,23108
670,14568
671,11738
672,20216
673,2729
674,14628
674,24286
675,13371
676,14446
676,11660
676,22460
677,6018
678,6981
679,2833
680,9159
681,1934
682,6730
682,10579
682,17587
682,5062
683,16779
684,24086
685,485
686,13379
687,13158
688,9327
688,20216
689,17628
689,2266
689,7058
689,9671
689,15337
689,22824
689,6679
689,14115
689,18003
690,9359
690,14072
691,11615
692,16213
693,18347
694,22337
695,9852
695,23648
696,595
697,8041
697,1995
697,11620
697,7132
697,15382
697,24980
697,15768
698,3230
698,3229
699,9159
700,685
700,1297
701,10181
702,9681
703,11418
703,20729
703,9678
703,3852
703,2190
703,11943
703,11350
704,14624
705,24086
706,6041
707,6851
708,14225
709,8789
710,19671
710,8984
710,7412
710,13844
710,14970
711,21865
711,5759
711,10341
711,13634
711,10912
711,5764
711,11397
711,22971
711,7577
711,16284
711,13384
711,6389
711,5762
711,1253
711,12341
711,18351
711,17464
711,17628
711,22975
711,109
711,19290
711,3427
711,5697
711,19995
711,8216
711,2368
711,24677
711,17988
711,10646
711,7503
711,4216
711,2900
712,15688
712,8674
713,3235
714,8643
715,12712
716,7612
716,11384
717,17837
718,9472
719,7513
719,15370
719,10069
720,22556
720,24166
720,19395
721,22707
722,23962
723,3711
723,24742
723,3321
723,19671
723,3775
724,13208
724,13199
724,7389
725,16314
726,17645
727,21339
728,12163
728,9766
729,4915
730,10840
731,19276
731,16865
731,15447
731,17415
731,18811
731,8680
731,4498
731,22974
731,17410
731,12475
732,186
733,20617
734,19755
734,19866
734,8374
734,22116
734,2191
734,21737
734,22068
734,8208
734,6479
734,1681
734,22657
735,13750
735,18366
735,19925
735,17142
735,23611
735,10475
735,10743
736,21839
737,18875
738,6626
739,18689
740,16743
740,10749
740,784
740,7047
741,9327
742,16148
742,15481
742,1426
742,13097
742,24649
742,11424
742,23113
743,23295
743,19954
744,5571
745,10643
746,18689
747,17222
748,3158
749,24586
749,740
749,8840
749,20508
749,7431
749,11944
749,19889
749,1110
749,21420
749,3401
749,7645
749,8344
749,14455
749,2870
750,22708
750,9159
750,16616
751,9086
751,5653
752,20379
753,11543
753,16372
753,3253
753,4314
753,1607
753,9616
753,10589
754,9142
755,5803
756,24299
757,19210
757,24503
758,11681
759,23355
759,1503
759,20473
759,9451
759,6642
759,2456
759,16311
760,12752
760,17852
761,19112
762,20224
762,14341
763,14828
764,1212
765,1757
766,8502
766,9851
766,21957
766,4675
766,1310
766,4722
767,7207
768,14186
769,11150
770,1188
771,22754
771,8798
771,21942
771,4412
771,22032
772,1949
773,115
774,7237
775,23024
776,21113
777,13120
778,11527
778,17102
778,24128
778,11026
779,10320
780,519
780,7711
780,2505
780,13320
780,15860
780,9014
780,3558
780,9833
780,22567
780,4628
780,9490
780,3062
780,4058
780,12909
780,9189
780,16008
780,19673
781,2729
782,20685
782,8005
782,4718
782,13442
782,19334
782,10220
782,21010
782,20691
782,4717
782,9989
783,2350
783,8908
783,4476
784,18351
785,9327
786,18437
786,18223
786,3403
786,3916
786,290
786,24276
786,13230
786,8481
786,23575
786,2345
786,6825
786,2819
786,8344
787,23305
788,17868
789,9327
790,13085
791,22815
791,6855
791,24141
791,22257
792,4218
793,5571
794,10727
795,9133
795,22102
795,14080
796,16134
796,936
796,7738
796,14370
796,1253
796,5317
797,19765
797,18272
797,8207
797,20307
797,15667
797,6028
797,18046
797,4920
797,1092
797,24453
797,22500
797,3845
797,3430
797,10374
797,837
797,16101
797,11701
797,10966
797,4600
797,2729
797,19207
797,4675
797,22587
798,4883
799,7456
799,24050
799,8437
799,2095
799,11470
799,5879
799,14559
799,9256
799,11459
799,20214
799,15826
799,17528
799,22990
799,16742
799,5365
799,5906
799,17892
799,5880
799,12406
799,3647
799,12544
799,20221
799,8768
799,3683
799,16512
799,14829
799,15831
799,2229
799,5091
799,5912
799,6274
799,6720
799,1407
799,3416
799,1846
799,3282
799,2276
800,9327
801,19326
802,23829
803,6747
803,265
803,6256
803,22330
803,9705
804,14346
804,24049
805,22963
806,22476
806,22587
806,19009
807,18023
808,9485
809,21726
810,10919
810,223
810,14416
810,4862
810,517
810,23063
810,23308
810,9529
810,2842
810,5422
810,2456
810,20531
810,20335
810,20473
810,18351
810,1253
810,7686
810,9051
811,7403
812,24724
812,1790
812,5835
812,22272
813,9266
814,3504
815,19487
816,12545
817,13371
817,1482
817,125
817,7651
817,20605
818,6343
819,22161
819,18351
820,17241
820,19469
821,23707
822,732
823,15370
824,6609
824,4736
825,9159
825,2819
826,9327
827,6993
828,10430
829,4192
830,5237
831,7510
831,20717
831,16731
831,21567
831,14650
831,23305
831,16893
831,22604
832,19954
833,11158
833,10122
834,12687
835,8361
836,11794
837,21087
837,9159
838,17066
838,23321
839,22529
840,6993
840,21831
841,20184
842,21464
843,16617
844,12125
844,20988
845,1143
846,6041
847,22898
848,21734
848,18756
848,18351
848,4634
849,21590
849,13515
849,13012
849,21383
849,4429
849,7342
849,16392
849,15760
849,24338
849,11040
849,4473
849,17348
849,8145
849,16386
849,22211
849,15182
849,14875
849,21253
849,14152
849,4194
849,15555
849,24442
849,6616
849,16891
849,9469
849,9918
849,4217
849,11899
849,389
849,4428
849,9262
849,16350
849,23404
849,4039
849,13161
849,10989
849,18509
849,23345
849,2050
849,22886
849,13807
849,542
849,13242
849,8093
849,15762
850,17264
851,3087
852,20561
853,22100
854,13564
855,10798
856,17066
857,5246
857,24727
858,3158
859,19845
860,9327
861,9639
861,8940
861,17173
861,3653
861,1024
861,15387
861,15185
861,2878
861,4828
861,18856
861,24001
861,21752
861,1111
861,17481
861,18883
861,11620
861,6250
861,13741
861,17699
861,7099
861,997
861,4203
861,8244
861,10496
861,19326
861,1085
861,13534
861,18443
861,622
861,8657
861,10327
861,8104
862,9342
863,9327
864,20561
865,20834
865,11085
866,12977
866,5623
866,12104
866,17231
866,21824
867,11755
868,8852
869,18848
870,19548
871,859
871,15383
872,15910
872,15911
872,17380
872,1340
872,8546
872,23670
872,23092
872,17282
872,8341
872,17379
872,495
872,17626
872,18340
873,5058
874,8417
875,16746
876,19210
876,9159
877,9006
878,2827
878,17628
878,17689
879,22563
879,17504
880,18555
881,6218
882,15356
883,14077
884,11172
885,15374
886,4218
887,13910
888,3111
889,17837
890,18624
890,19737
891,1677
891,10727
891,7141
892,15511
893,8588
894,6919
895,11554
895,13248
896,6602
897,1829
898,21737
899,15329
900,9167
901,19889
902,22842
903,12998
903,22842
903,19009
903,9154
904,20410
905,14727
906,21958
906,22128
907,8331
908,5450
909,6602
910,21244
910,1686
910,20430
911,6415
912,9434
912,12230
912,11126
912,372
912,1884
913,19042
914,10921
914,24967
914,21368
914,15764
914,7386
915,3961
915,21570
915,11071
915,21855
916,13
917,20561
918,7047
919,9154
920,7037
920,6123
921,11874
922,18010
923,9327
924,11418
924,13838
924,22029
924,8351
925,20966
925,613
926,4062
926,2145
926,21475
926,3637
926,21695
926,15023
926,14328
926,21146
927,13515
928,22203
928,1225
928,5247
928,11509
928,3505
929,16641
930,23916
931,10750
931,9201
931,8240
931,6474
931,13833
931,13692
931,1357
931,8395
932,12604
932,13515
932,23172
933,19811
934,21420
934,7357
935,230
936,388
936,2472
936,22641
936,8489
936,6432
936,12230
936,11586
937,6000
938,9327
938,10448
939,4719
940,7219
940,5450
940,12204
941,3357
942,1212
943,8222
944,2364
945,4359
945,21339
945,9327
946,18758
947,2350
947,16616
948,6789
948,24477
948,9443
948,429
948,24188
948,13554
948,4963
948,10423
948,7993
948,16635
948,18563
948,22986
948,2508
948,6907
948,18438
948,14849
948,24701
948,16389
948,19167
948,3249
948,11574
948,16184
948,14056
948,17412
948,24708
948,19679
948,10100
948,13269
948,12314
948,4546
948,10777
948,16810
948,24468
948,14961
948,14853
948,15787
948,4939
948,6386
948,22905
948,5256
948,21844
948,5203
948,786
948,7539
948,21597
948,4663
948,17288
949,14125
950,20561
951,11542
952,9714
953,17300
954,18689
955,17837
956,15093
956,20769
956,2413
956,11576
957,17093
958,2857
959,21250
959,13605
959,19489
959,11158
960,14469
960,8550
961,18583
962,13371
963,22316
964,7510
