user,item
321,2500
5153,2500
1643,2500
4753,7330
309,1694
321,6432
4753,1092
1533,9669
5153,24049
5153,55
1579,22855
4753,16824
5153,1371
4753,2718
309,4884
4363,12465
1501,7330
3886,23550
321,12573
4753,4907
1643,5932
4753,2455
823,1371
2442,6486
4753,8663
5153,11711
823,23284
823,7125
309,23912
309,6850
638,16392
1690,3046
1690,3922
1309,273
309,24424
638,16700
309,9819
309,16046
823,27
823,19262
1579,25045
3294,22953
3294,7804
1690,26
1690,5932
321,12526
309,11269
309,475
823,15363
309,5362
1643,5318
1309,5318
1643,10112
1309,10112
823,5863
2148,5040
1643,5040
1309,5040
1643,7899
1643,20216
309,17913
2148,22549
1579,21548
309,7332
3886,1934
5153,1653
1501,6432
321,10946
309,19620
309,6134
4363,4910
1579,12511
321,24922
823,12158
2824,1700
823,10058
309,5717
3886,10621
3886,13502
1579,14000
309,9076
2188,15995
3886,16711
3886,12329
309,4322
309,13396
638,8193
1579,2053
823,24177
916,9671
823,7040
1579,5086
2188,5994
309,22176
1690,21817
309,1531
1533,21340
3886,6312
3886,16518
608,22334
1501,11334
309,2520
1309,16099
638,17720
638,18615
5153,22855
1579,5259
309,11432
1579,23585
1533,21929
823,18758
638,16731
309,2825
823,201
5153,21244
2824,19294
1579,19681
3886,15919
5153,24745
3886,12275
3886,6855
823,17059
1579,23324
823,18637
3886,1092
823,16225
309,19312
309,19491
1690,15452
309,9853
1579,6696
5153,13685
1533,3426
5153,11721
638,4428
1643,6953
309,5437
3886,396
4363,3044
1533,23875
638,14222
3886,11725
1579,6175
823,23817
2148,116
2148,10545
638,145
823,9705
638,19302
638,542
3886,24041
638,23205
638,24486
638,11573
309,2820
823,9519
3886,2569
823,10946
5153,4146
823,24266
823,3026
823,14690
309,3636
3886,11056
1579,21232
1579,6227
1849,18634
309,3896
5153,12673
638,1565
1501,21418
5153,12297
3886,20155
366,18634
491,389
491,18726
638,22086
1690,8862
3886,23060
3886,18714
309,10545
309,401
1501,20431
309,6773
321,12230
366,5597
1501,13924
309,12279
1501,20575
321,23024
1579,2819
2148,3962
2148,9671
309,7242
321,12331
309,21213
309,6497
321,15218
321,5820
321,15122
3886,18538
3886,24298
1533,21761
2148,1371
2148,2665
309,10844
309,16800
1690,13370
321,14348
2148,19129
309,12225
321,22128
309,4097
2148,5932
5153,9208
309,16015
4363,2619
638,11563
1690,23324
2148,1482
309,7073
1501,4498
5153,23063
1501,16800
321,923
321,22529
1501,24266
5153,6876
5153,24539
321,18129
309,111
1501,17573
309,19098
3886,5820
321,19093
1690,8566
321,22827
3886,12176
1579,12357
1579,23575
3369,13600
1643,23284
1501,23575
321,5362
321,1934
1501,6486
309,12275
5153,6195
2148,24968
2148,12455
1501,8778
2148,2507
2148,1364
5153,4999
2148,11713
5153,11713
2148,19402
1579,23591
1579,20608
5153,20608
309,8479
1501,21598
1533,17630
321,8566
638,24462
321,1371
321,287
321,13230
5153,14963
1501,8663
309,23286
1501,14348
366,18291
321,19620
5153,13845
321,4900
366,3837
309,3535
1849,3385
1849,8112
5153,10545
1579,15746
309,12329
321,5548
1579,6192
309,13603
638,20444
321,21023
309,15919
309,12653
1533,12341
4363,24069
321,18538
1579,5866
1579,12084
1309,17658
1309,8132
321,19586
1501,23024
309,1341
5153,2221
1309,15264
638,13127
1690,16222
321,19564
5153,12624
1690,1813
2148,9208
309,722
3886,18989
2148,12542
1501,5589
1533,1954
2148,18862
2148,1294
2148,12673
2148,18351
2148,4146
5153,22316
1501,14045
1501,10396
3886,17364
1501,24212
1501,16865
321,14660
321,24450
5153,9395
321,6065
3886,19632
1501,23590
1690,17929
321,2570
1501,21563
1501,20337
321,10937
1690,24212
366,21629
3369,12666
321,20561
3369,23277
5153,14788
366,20800
1501,11767
366,19611
3369,837
1690,22128
5153,19050
321,22706
1309,20439
1501,18320
4363,13478
3886,16158
3886,16099
1501,9154
1501,2795
1501,6773
321,24049
321,24276
321,7123
5153,12455
366,11041
1501,18251
1579,22500
1579,2532
1501,4032
3886,1700
321,2350
1501,14660
366,16910
366,2632
1501,5504
2824,22529
366,106
366,2426
1501,12573
1533,12150
5153,13788
2188,21497
321,12465
1849,6097
1579,11056
1579,16779
1643,24942
1849,2524
321,19009
1579,19009
1501,20818
366,23700
1501,10127
321,14153
1501,6416
916,2043
1501,308
321,19294
321,24177
1309,9373
321,18014
1501,2009
321,17448
321,20431
916,4149
321,18810
1501,14874
1501,16047
1501,7630
916,11289
366,20371
916,8476
1690,23575
1533,23614
3369,11824
5153,23114
3886,14874
5153,14384
1501,9516
3886,20605
3886,13142
3886,1371
916,18351
2148,3453
1643,7793
2148,12279
1643,9208
5153,20895
2148,18250
2148,11399
916,6151
1643,22316
2148,16824
2188,16849
1533,24685
916,14407
1501,189
916,699
321,13029
1643,5866
3886,1761
1501,13029
916,19332
5153,18015
3886,55
916,2745
5153,7060
1501,12329
5153,10951
1501,396
5153,23389
1501,23401
1501,6943
1501,3922
366,14698
366,23374
1533,20613
1501,10783
366,9847
1501,19294
1643,1371
1533,8866
1690,10518
5153,4894
1501,4412
916,1734
1501,13977
1643,17488
1501,17241
3886,19564
2442,11399
1501,2718
2442,6257
1501,18811
1501,24298
5153,18351
2442,22557
321,21509
5153,13902
1501,10256
1501,15785
5153,23575
321,23575
1643,9154
1501,6227
2442,3636
1501,6467
321,396
1501,27
2148,24152
2148,4176
3369,5743
5153,21242
1690,10396
1501,8680
2148,12341
5153,11807
4363,19098
366,2358
5153,5768
366,5082
3369,23523
916,2774
1501,16029
1501,1371
3369,24390
3369,22667
3369,13977
3369,14353
1690,22050
916,20440
5153,12716
5153,12542
3886,5926
3886,10545
4363,9373
1643,13902
3886,16307
1690,189
3886,13982
3886,5040
3886,22549
2148,1930
2148,6993
2148,20216
2148,8709
3369,1495
2148,14072
3886,17889
4363,2819
1643,125
1643,14153
1690,14153
1643,55
3886,13029
3886,22128
916,20438
916,17633
3886,19294
1690,6622
1643,21414
1849,7349
3886,13412
1849,23269
1849,13631
3369,2857
1643,1059
1309,1059
1309,16800
916,12716
1643,12329
1309,12329
1643,4272
3369,3092
1309,22754
1643,22754
1643,9497
1643,20747
1690,15746
1643,22128
608,20819
4363,9266
3886,3926
1309,24450
1309,19009
1643,22500
3886,12373
3886,5866
1643,20561
1690,3291
916,8674
1643,6876
1643,203
1690,16800
1849,9881
1849,2852
1643,12409
1849,6093
1643,16779
1690,8658
1643,8658
2148,14897
2148,13396
1690,12052
5271,20159
5271,10321
2148,11566
2148,5239
2148,24652
2148,14153
2148,21548
2662,3385
2662,1476
3886,24424
1849,10729
1643,13370
5271,7125
3886,26
1690,7615
1690,8680
2148,23590
3886,20431
2148,17243
2148,894
2148,6257
3886,22706
1643,18062
5560,17753
5271,12275
5560,23531
5271,75
5560,12145
5560,5949
3886,23523
5271,3777
5271,20174
5560,17856
5560,18634
1643,9303
5560,23442
5560,16038
5560,7995
916,20895
5560,11529
916,17689
5560,23435
916,22051
916,22360
916,2688
5560,2004
608,17663
2148,10911
5560,16212
608,18583
1643,12713
608,12695
2148,15757
1643,4218
608,10112
608,8807
608,8952
608,22425
608,23581
608,1253
2148,17663
5560,1514
2148,19715
844,12275
844,27
844,19009
2148,9327
2148,10610
2148,1253
5560,21377
844,8462
844,19524
844,3289
844,20561
4598,16282
844,22330
844,18117
5271,23831
916,3540
844,14912
844,15366
916,19549
844,12860
844,15223
5560,1856
844,2824
844,11126
844,21037
844,24276
844,16616
844,24890
844,7094
5271,23996
844,11530
5271,17889
5271,197
2148,14747
5271,1150
2148,18028
2148,5926
844,9373
5271,8207
1643,18538
844,18083
5560,11453
844,22556
5560,15063
5560,17469
5560,2365
5271,14917
5271,19101
5560,23235
2174,4792
5560,8269
5560,17924
5271,24069
5271,5910
5271,3288
5271,11721
2174,16468
5271,17689
2174,3578
844,13029
844,9303
2174,9668
844,2809
2174,1049
2174,18487
5271,12084
844,10545
2174,22967
2174,19481
2174,2464
5873,23269
5873,10415
844,22128
2174,8788
5873,24939
2174,20093
5873,16063
844,24457
2174,8551
5271,2857
491,4429
5271,16873
2174,7394
5271,14192
5271,11093
2174,13396
5271,5820
844,20739
2174,13023
844,7334
2148,18135
2148,4999
491,13515
844,10058
2148,13795
844,18758
491,10545
491,2529
491,2570
491,960
491,3024
491,21509
491,6126
491,23093
491,24041
491,2528
2174,9208
491,6816
491,18615
491,13808
491,22604
2174,7045
844,12653
844,20605
844,22529
491,21909
491,10989
491,21458
491,17348
491,9239
491,3315
844,24266
608,6919
5271,2822
844,21413
844,11871
491,22211
491,21457
491,9262
5560,1796
844,12329
844,16594
844,6327
844,2748
844,18617
491,21383
844,8725
491,16386
2174,11713
491,23885
844,6432
844,16479
844,9154
844,3926
844,11124
844,23024
844,1092
844,4927
491,5400
844,2355
844,9464
491,9195
844,1796
5761,1796
5761,2821
844,21710
5761,8241
916,3504
844,22612
844,12526
844,1653
844,11586
844,5866
844,10084
844,17260
5761,8115
844,8115
5271,19009
5761,12465
844,8663
916,5146
844,1065
491,22086
844,19564
491,16891
491,6826
5761,12860
844,6696
844,24049
844,2520
2174,104
5761,23024
844,16779
844,6949
5761,20155
2174,17042
844,12475
844,3777
844,9266
844,14346
844,5100
5761,14747
5761,9266
5761,13029
2265,8207
5761,8207
5761,7273
2265,7273
2265,23024
2265,3289
2265,14782
5761,14782
3893,21701
3893,55
3893,12575
3893,12540
1741,23024
3893,2822
3893,6279
5761,12565
2265,12565
3893,12565
3893,24049
5946,1049
5761,18437
3893,12465
5761,19009
2174,7316
3893,17452
3893,50
3893,12275
1741,5499
837,21801
837,8516
5761,5308
837,7491
3893,4405
1991,2068
5761,19564
2265,19564
837,22982
4999,13445
5635,12754
5635,12297
3893,9208
2265,11399
5761,22815
3893,20080
1741,12647
1991,15725
837,12481
1741,8636
1741,24453
1643,18132
1991,18132
5635,17101
3658,16617
1741,6432
1741,6626
3658,14346
3893,1625
3893,17950
5635,12455
1741,19469
5916,18928
3658,7240
1741,24745
3893,18634
3893,21930
3658,6626
3893,19299
3658,18649
3893,15015
5761,3536
1991,18281
5946,7780
4999,19704
2148,936
3893,23389
5635,23389
837,3974
4999,18548
837,23617
4999,6363
3893,12455
3893,6876
4999,19889
3893,3479
4999,3328
3893,203
3893,9671
3893,9051
3658,22693
5761,3704
1643,16114
4999,1190
1741,3546
5635,7780
5916,9154
2174,23042
3893,23839
3658,8382
608,742
2174,9051
3893,17042
3893,11010
3658,23875
3893,17991
3893,2221
54,18351
2824,1686
608,10692
2265,23846
2662,3359
2265,897
2662,24778
2662,21437
2265,2821
5635,5146
2662,24796
5271,2821
1991,25070
2824,2821
3893,24968
2174,24968
5635,24968
608,15556
5761,2822
608,24968
5916,15366
3893,21524
5271,3394
4999,10735
4999,11627
5916,5845
608,12800
3658,6498
608,13845
608,2155
608,23275
5635,920
3893,11001
5271,17913
3893,13766
1741,22173
2265,3546
2156,16307
5635,3506
3658,12540
1962,16114
5560,16307
2148,16134
3893,23058
4999,3900
4999,21734
4020,4530
5635,2195
3658,10545
3893,6172
3893,18487
1962,12455
180,11884
317,24883
608,6151
1879,17105
1741,116
5271,11779
1879,15883
5812,12279
1879,4479
1741,19564
1962,8531
5177,11779
2265,8974
1624,24883
1562,6494
3658,7625
1741,20561
5812,9276
5560,11270
1643,5442
1562,14659
3893,15206
837,23272
1562,1926
2662,17630
2148,7899
608,22871
4999,18352
608,18351
5635,18351
1879,24088
1624,5117
1624,14681
2659,17241
1962,5117
2148,18822
5946,1253
2659,14283
1962,16782
5635,9327
1741,17480
2148,4157
5761,17480
2195,12341
5635,6854
608,21831
5635,21831
1252,18822
1624,400
2174,21339
4420,22329
317,3506
2780,22329
3658,8241
2174,7242
317,7091
1758,2819
1758,7903
5601,21831
1991,9438
317,5041
2824,21440
5441,9775
2174,5450
4228,11566
1962,14965
1727,21548
2824,16800
2003,18822
3893,18351
2057,11566
3874,10112
3874,5450
5601,7787
3321,9390
5601,15190
180,14636
2373,9327
5083,621
5940,5117
1962,1253
5940,6108
3658,4675
3955,12968
5441,4359
682,4359
1991,18351
3874,8896
5859,18351
3033,10121
2659,20431
3893,1253
2778,22823
5635,17908
5873,10121
3495,22173
3495,11399
3893,6428
2174,4359
3799,18822
1252,4359
1562,12207
2148,4359
4545,10121
2780,1253
4420,1253
3799,4359
1818,8952
1252,19715
1252,17494
1252,5450
1252,3083
3799,5450
3135,18634
4871,20216
1991,1253
3874,6428
4420,21831
2780,21831
1818,21831
5761,7787
4871,9327
2373,7686
5635,10121
874,4059
552,12279
345,5793
1252,7686
2265,5832
5873,21831
4871,5832
1454,1874
874,4712
1991,15190
4545,3158
460,10545
3658,20561
5761,5832
1727,23646
123,19050
5601,10121
3135,6018
1962,4216
2148,8952
2989,405
837,5112
5940,4894
5859,15757
5177,12606
5635,4216
2659,21509
3799,19050
1718,9624
4545,20216
5873,20216
3893,10112
5812,24652
4446,22579
4420,20216
2780,20216
2522,20216
1962,21339
5946,9463
4871,15190
5601,21339
2373,21339
2265,20216
5761,20216
3799,10112
123,4157
3033,21339
1962,21831
416,13788
432,13788
3981,1577
2239,10112
5940,20459
3799,12261
1991,10112
2989,20216
5635,20216
1601,17749
180,14072
2659,19503
5441,6993
5662,4842
5873,6993
4420,6993
3294,20216
3583,21339
5177,13087
3799,6993
3135,1253
608,6993
1252,21339
4020,1577
2148,21339
3799,21339
5815,16047
4819,13087
2239,21339
2780,21339
4420,21339
1252,6428
2824,23575
5859,7242
1718,21339
2129,125
96,125
1252,4745
5172,4745
1718,4745
3583,6993
5859,4745
5940,11169
1962,4745
3033,17663
3583,4745
3135,10859
4446,2365
1252,6993
3033,4745
4196,18351
1818,9327
3583,17494
2989,23148
416,1253
4020,2195
1974,1575
2989,15673
5859,21831
2989,4359
5177,10321
6023,22084
1562,22084
3135,15673
4020,8290
1703,21339
1703,9327
2239,8952
416,6339
4196,4550
1727,19704
2156,16065
810,15190
432,10983
1252,20216
3799,14072
5423,11793
4196,1253
1562,8538
3799,11793
608,9327
3799,9327
1244,18351
2057,9327
4196,9775
4420,10650
2780,10650
3658,19524
432,10121
4871,14072
2003,11793
416,10121
837,1253
2260,7838
3893,12879
4545,19715
3033,17908
5560,15808
180,13426
2373,3083
180,12204
180,12954
1562,2374
874,4722
4446,8495
1991,9327
5812,19567
1741,12225
5560,23590
4228,6993
4545,14006
5601,4359
2260,9702
1252,9327
5560,22930
3893,9327
5873,9327
4020,20335
3135,9327
2239,9327
913,9327
5812,10227
3955,5299
4420,9327
4545,9327
75,2009
2780,9327
1718,9327
6005,722
1624,9900
1244,1253
4819,16013
1643,17761
1643,9327
432,21339
5083,19704
3799,5302
874,17837
874,12065
1962,7686
5423,7787
5873,3083
180,4359
837,9327
1040,20602
1879,14276
432,20216
2659,4433
1962,20216
416,20216
5681,14276
5812,12640
2522,6854
4420,6854
2780,6854
3294,19050
1244,9327
2003,20216
1818,17073
1818,19715
5560,10005
1252,17073
416,10112
4819,5025
3893,21831
3458,10497
2373,13426
2989,19050
2022,5932
3658,14276
432,10112
1991,24114
4196,20216
2057,20216
837,21403
3294,14072
5560,10195
608,20216
5601,12879
4545,10112
694,24922
4446,2017
913,20216
972,22795
5940,742
2239,3970
2373,20216
4873,19994
4873,15962
4871,14079
5635,15696
5423,4218
2195,20216
5423,21831
432,6428
4196,10121
5812,13976
3343,18634
3893,20216
3135,18583
3799,20216
2057,9397
837,20216
1718,9775
2228,10079
574,1822
1879,1105
6005,24761
3583,18583
1991,20216
952,21548
3033,18583
1454,369
4196,18583
3893,5040
6023,24730
3799,21831
2260,21254
2522,21831
2057,6428
4545,15216
1252,21831
4020,3447
5812,18128
416,23148
3294,1930
5172,6428
1252,15216
3135,21831
432,23148
4446,12052
2239,21831
1718,18583
392,2371
1601,21339
2934,2371
5940,5768
4453,2371
4020,22607
5761,15216
2934,16398
432,1740
1962,6428
1040,24942
416,1740
4453,9536
2934,9536
2373,19273
3294,21679
3942,16257
3942,10104
952,2355
913,21339
5635,21679
4545,20257
3942,9900
1703,9463
2057,18822
5940,1937
2239,11360
998,8290
998,6330
2934,12338
3893,4216
3893,17494
837,10859
2003,19715
1879,11566
2265,7787
5873,10609
5635,11793
3294,8807
4873,15647
1562,7536
2003,4359
1818,4359
2659,15122
2228,8896
4768,13426
5761,10112
2260,176
3658,373
5177,4891
5635,10112
1454,17415
5812,19671
1962,15609
432,10650
416,10650
3458,11637
4196,17494
2697,3896
2265,10112
837,24412
3799,5262
5423,6428
913,4157
1718,5262
1703,5725
2522,5725
4420,5725
2373,6428
3893,12648
5859,18078
837,15609
180,8896
4873,7040
1991,10610
3881,3026
3513,4359
1252,19050
1690,10992
5083,1856
4315,1856
552,5653
3658,19276
3874,15609
4871,10112
5873,5262
5601,5262
2780,5725
1962,5262
803,19814
2156,15341
5940,6460
3294,4216
4315,12475
3893,17663
4999,21817
5083,12475
1252,18124
3799,18124
5043,5699
5560,16262
3135,8952
2522,9327
4420,5450
432,10610
952,741
4999,21998
2763,16101
4196,9327
837,20257
3942,1911
4871,19050
416,3158
5441,14079
682,14079
2174,6428
2265,4359
1562,538
3033,18070
1601,6854
5761,19050
4228,20216
2989,5040
1703,7686
2003,18124
1818,15254
54,2481
4196,21339
5635,19050
4873,6227
2003,14072
1252,14072
416,18763
3658,21087
432,9463
1879,1253
5441,9327
682,9327
1703,20216
4228,7686
2239,15254
5873,9393
2373,19050
837,7686
5873,18124
4755,5395
4755,18224
3893,14072
1252,3158
3583,11604
1962,4218
269,3158
682,19450
432,3158
1991,19050
5441,19450
3513,3158
4545,21403
2057,9728
2373,3970
608,4218
4196,4218
5873,4218
5940,16468
3893,15609
5423,23500
180,8807
2003,3158
4196,15609
3033,5040
1601,4218
5761,4216
4873,21634
682,19050
5441,19050
5635,18124
1907,18146
1244,4218
913,4218
3068,15609
1825,5450
4871,4218
2148,3158
2003,15609
4196,19050
4420,19050
2239,19050
1252,12261
1252,1722
2780,19050
5441,21831
2373,15609
5601,405
2057,19050
4545,4218
2195,4218
682,21831
4871,21831
5873,19050
4545,21831
682,21339
5859,4218
2174,3158
5601,5040
2195,19050
1382,17706
682,9775
1601,19050
1252,548
5873,3158
837,4218
1244,19050
180,4218
608,15609
2239,4218
1974,21242
432,18763
4632,12713
5859,19050
5761,8896
4632,9432
1907,4218
5761,21831
2003,9327
4196,21831
913,15609
2174,4218
3893,4218
5859,17093
3893,17093
432,15609
1962,17093
1718,4218
1718,17093
903,4257
416,15609
5761,18124
608,17093
2195,21831
1244,21831
3893,18124
2265,21831
432,19050
416,19050
5601,11360
5943,17093
5873,11360
2239,18124
4196,11360
432,16510
416,16510
2780,5450
5859,9327
1718,5450
416,10930
432,10930
4196,8952
5601,18124
2373,17093
4545,11360
1818,1253
1818,4550
903,4375
903,5440
3033,12341
4871,9393
5601,9327
608,12031
3799,9878
269,20216
416,21186
432,21186
1040,3018
855,24682
1825,8896
180,11793
837,10112
3135,20216
1907,7242
3893,4648
665,6428
4196,14072
2763,24503
2003,9728
2057,10121
4420,8896
1244,10112
5916,9278
430,7242
2780,8896
1991,18078
1244,5725
430,24807
430,20343
3799,10352
206,10707
2057,1253
5083,5368
5601,20715
950,18776
90,9327
4871,5670
3135,15190
1962,14072
608,9728
598,3083
2373,14072
1879,10112
874,17727
1246,14072
913,21831
874,1092
1040,6486
416,19497
3294,15673
2404,9327
4755,8040
3256,1092
1962,3083
2260,1092
206,23024
5635,15190
4632,14072
2373,1930
1601,10121
1382,3202
4871,22825
5681,19524
1252,1930
4545,1930
913,1930
269,1930
598,8896
608,19450
903,18710
3799,1930
1562,16046
1882,16350
1962,1930
1907,4216
2195,1930
1244,20216
2239,12310
1703,11376
2265,15757
5761,15757
903,18822
3294,18763
1246,11793
4321,10121
5681,12329
5873,17663
665,14072
2174,18124
753,17488
2469,14168
608,18763
682,1893
2003,15190
4545,21339
855,21101
5441,1893
5635,12730
1962,19050
972,67
5943,4157
608,21339
4871,21339
5601,19050
2174,10121
2003,1930
2228,21339
430,21339
1991,21339
269,19050
5873,21339
5635,21339
4321,19050
4873,21821
1284,21692
903,9393
3942,1657
1971,23446
2148,9624
4632,1970
1244,21339
3942,22106
5441,21339
5943,19050
4871,20343
416,10983
2195,21339
1211,19050
54,104
4321,12788
392,943
269,10112
4020,10839
3294,6993
1252,15609
2195,18124
598,7787
2198,18124
3583,18124
2003,21339
1907,19050
1601,1930
5859,1930
269,21339
2003,6428
903,11604
269,12788
608,18124
2148,6428
2148,17908
3068,24807
3068,20343
913,18124
903,15069
4196,9461
598,18124
598,9393
4742,21339
4176,21991
608,17908
269,15190
2522,5450
1727,15808
4545,1253
392,19924
3799,23330
2022,314
598,10609
5943,1253
4545,11566
1601,1253
2198,6428
4321,1253
2983,24503
1825,1253
5873,20715
2780,10112
269,6337
1962,4359
2522,10112
608,19391
4632,10121
5635,15673
552,22384
3583,8807
1718,10112
416,9728
432,9728
1244,11793
1246,4359
3458,18380
3583,5450
1907,10112
6037,10112
2404,8807
180,6428
2022,10545
432,1253
5423,18124
269,12000
392,15688
911,22360
855,21817
63,19646
1879,4359
4420,9346
4871,6993
5601,1253
682,12788
430,1253
3799,1253
5441,12788
1246,10352
5423,19391
1284,13788
1741,24712
2260,17179
2522,5670
491,12311
1246,22782
4420,5670
2780,5670
4819,8227
682,23107
5943,10545
4176,12341
1703,10259
3256,10555
1718,8952
4934,22128
5486,25054
3564,14882
2404,9624
2174,14079
5635,21403
2174,12695
